ID,Task,deadline,TaskTime,Priority,Completed
24,next steps,2026-03-21 18:30,2026-03-21 17:00,2,false
23,client report,2026-03-21 16:30,2026-03-21 15:00,1,false
22,tech sync,2026-03-21 12:30,2026-03-21 11:00,1,false
21,planning recap,2026-03-21 10:00,2026-03-21 08:30,2,false
20,weekly demo,2026-03-20 18:30,2026-03-20 17:00,1,false
19,audit prep,2026-03-20 16:00,2026-03-20 14:30,2,false
18,bug review,2026-03-20 13:00,2026-03-20 11:30,1,false
17,stakeholder call,2026-03-20 10:30,2026-03-20 09:00,1,false
16,roadmap sync,2026-03-19 19:00,2026-03-19 17:30,1,false
15,scope update,2026-03-19 16:00,2026-03-19 14:30,2,false
14,qa triage,2026-03-19 13:00,2026-03-19 11:30,1,false
13,release review,2026-03-19 10:30,2026-03-19 09:00,1,false
12,metrics check,2026-03-18 19:00,2026-03-18 17:30,2,false
11,client followup,2026-03-18 16:00,2026-03-18 14:30,1,false
10,design review,2026-03-18 13:00,2026-03-18 11:30,1,false
9,market research,2026-03-18 10:30,2026-03-18 09:00,2,false
8,team sync,2026-03-17 18:30,2026-03-17 17:00,2,false
7,code audit,2026-03-17 16:30,2026-03-17 15:00,1,false
6,risk review,2026-03-17 12:30,2026-03-17 11:00,1,false
5,sprint planning,2026-03-17 10:00,2026-03-17 08:30,1,false
4,status update,2026-03-16 19:00,2026-03-16 17:30,2,false
3,backlog grooming,2026-03-16 16:00,2026-03-16 14:30,2,false
1,client meeting,2026-03-16 10:30,2026-03-16 09:00,1,false
2,code review,2026-03-16 14:00,2026-03-16 12:15,2,false
